date,k_single_date,k_temporal,ndvi_spread,silhouette,n_valid_pixels,cloud %,cluster_ndvi_means,cluster_pcts
2024-04-08,0,1,0.0000,0.0000,0,100.0,,
2024-04-23,12,1,0.5799,0.2398,2414,0.0,0.638;0.594;0.534;0.479;0.456;0.397;0.303;0.296;0.156;0.124;0.058;0.058,23.1;9.2;25.8;5.6;5.3;4.6;4.3;4.1;3.0;2.7;4.4;8.0
2024-04-30,0,1,0.0000,0.0000,0,100.0,,
2024-05-10,12,1,0.3859,0.2649,1891,21.7,0.461;0.438;0.381;0.373;0.344;0.334;0.331;0.273;0.220;0.127;0.082;0.075,12.8;10.9;21.2;8.9;7.2;4.8;1.6;5.6;4.1;5.4;4.6;13.1
2024-05-13,9,1,0.4844,0.2954,2070,14.3,0.568;0.517;0.486;0.465;0.394;0.302;0.172;0.085;0.084,29.4;8.3;27.1;8.7;5.9;4.5;6.1;3.6;6.4
2024-05-20,0,1,0.0000,0.0000,12,99.5,,
2024-05-23,0,1,0.0000,0.0000,0,100.0,,
2024-05-28,10,1,0.4063,0.3755,1400,42.0,0.498;0.468;0.371;0.367;0.358;0.351;0.278;0.209;0.098;0.092,22.6;13.1;6.1;21.4;6.3;10.1;8.8;4.5;3.9;3.2
2024-05-30,0,1,0.0000,0.0000,0,100.0,,
2024-06-04,13,1,0.3393,0.3209,2298,4.8,0.470;0.404;0.388;0.385;0.383;0.365;0.347;0.329;0.319;0.294;0.274;0.253;0.131,6.5;8.1;17.9;6.0;7.0;8.8;23.2;5.4;1.8;3.5;2.9;4.2;4.4
2024-06-07,2,1,0.0403,0.2035,223,90.8,0.153;0.112,43.0;57.0
2024-06-09,12,1,0.3497,0.3968,2414,0.0,0.464;0.411;0.340;0.325;0.313;0.280;0.277;0.265;0.260;0.228;0.159;0.115,3.8;6.7;24.6;7.2;2.9;5.7;2.6;8.4;25.8;5.6;2.7;4.0
2024-06-12,0,1,0.0000,0.0000,0,100.0,,
2024-06-17,0,1,0.0000,0.0000,0,100.0,,
2024-06-19,0,1,0.0000,0.0000,0,100.0,,
2024-06-22,0,1,0.0000,0.0000,0,100.0,,
2024-06-24,4,1,0.2843,0.4724,477,80.2,0.513;0.364;0.256;0.228,27.5;33.3;31.4;7.8
2024-06-27,8,1,0.1618,0.1948,860,64.4,0.280;0.245;0.185;0.183;0.130;0.127;0.126;0.118,8.4;7.3;9.2;17.8;8.5;14.0;16.5;18.4
2024-06-29,0,1,0.0000,0.0000,0,100.0,,
2024-07-09,11,1,0.4833,0.4076,2414,0.0,0.572;0.458;0.435;0.250;0.207;0.155;0.143;0.133;0.112;0.095;0.088,6.2;5.7;3.4;4.8;3.1;24.4;7.1;7.2;4.9;8.7;24.4
2024-07-14,9,1,0.4510,0.4851,2414,0.0,0.532;0.423;0.328;0.292;0.126;0.088;0.087;0.086;0.081,6.2;5.4;5.3;1.7;9.4;7.5;8.9;27.1;28.4
2024-07-17,9,1,0.5408,0.2960,2185,9.5,0.577;0.556;0.239;0.098;0.076;0.069;0.061;0.059;0.036,7.4;4.2;4.4;9.8;6.8;27.1;14.8;19.1;6.4
2024-07-19,0,1,0.0000,0.0000,4,99.8,,
2024-07-22,9,1,0.4967,0.3895,2414,0.0,0.569;0.485;0.366;0.347;0.131;0.088;0.081;0.078;0.073,5.3;6.6;1.8;4.1;10.6;7.2;8.9;26.7;28.8
2024-07-29,8,1,0.4731,0.4097,2414,0.0,0.553;0.456;0.379;0.147;0.092;0.082;0.080;0.080,6.0;5.7;5.7;9.7;7.3;10.2;26.7;28.6
2024-08-11,12,1,0.4578,0.3134,2414,0.0,0.525;0.481;0.430;0.370;0.261;0.156;0.119;0.104;0.097;0.080;0.072;0.068,4.0;3.0;5.3;2.2;3.1;5.3;9.3;12.8;19.5;6.5;14.9;14.1
2024-08-13,11,1,0.4016,0.3245,2414,0.0,0.473;0.407;0.294;0.193;0.124;0.110;0.103;0.080;0.076;0.074;0.071,5.6;7.8;2.6;2.7;4.8;7.0;6.4;29.2;6.1;13.0;14.6
2024-08-16,9,1,0.2490,0.2937,2022,16.2,0.323;0.303;0.232;0.207;0.113;0.091;0.089;0.082;0.074,6.2;7.4;3.4;4.5;13.4;4.6;13.2;35.3;12.0
2024-08-21,0,1,0.0000,0.0000,0,100.0,,
2024-08-23,0,1,0.0000,0.0000,0,100.0,,
2024-08-26,8,1,0.3976,0.2801,2414,0.0,0.463;0.410;0.288;0.154;0.098;0.075;0.068;0.066,6.6;7.0;3.9;6.3;12.5;17.8;14.6;31.3
2024-08-28,10,1,0.3947,0.2644,2414,0.0,0.470;0.410;0.346;0.292;0.158;0.109;0.088;0.079;0.078;0.075,5.2;6.7;2.4;3.5;6.9;10.7;16.8;9.9;15.6;22.3
2024-08-31,10,1,0.3685,0.3165,2414,0.0,0.445;0.386;0.319;0.291;0.119;0.102;0.082;0.081;0.081;0.077,5.7;5.5;1.9;4.6;10.1;7.5;10.6;21.7;17.9;14.4
2024-09-02,0,1,0.0000,0.0000,0,100.0,,
2024-09-05,10,1,0.3365,0.2008,2414,0.0,0.405;0.358;0.296;0.222;0.107;0.081;0.075;0.073;0.069;0.068,4.8;5.9;3.3;4.6;12.0;4.0;12.9;12.9;14.7;24.8
2024-09-07,11,1,0.3178,0.2038,2414,0.0,0.390;0.349;0.289;0.219;0.116;0.098;0.090;0.080;0.076;0.074;0.072,3.5;7.0;3.2;4.3;5.4;8.3;4.8;13.1;17.4;13.8;19.2
2024-09-15,2,1,0.0100,0.4042,238,90.1,0.066;0.056,42.9;57.1
