field_id,label,segmented,n_phenotypes_effective,n_phenotypes_raw,ndvi_diff,silhouette,db_score,dominant_pct,fragmentation,avg_confidence,n_field_pixels,verdict
22,multi-crop,True,3,3,0.4551,0.233,1.318,49.9,1.0,1.0,2750,3 distinct phenotypes | strong NDVI separation (spread 0.455) | likely distinct crop types or strong stress.
325,multi-crop,True,3,3,0.4415,0.176,1.666,38.1,1.0,1.0,1112,3 distinct phenotypes | strong NDVI separation (spread 0.441) | likely distinct crop types or strong stress.
207,multi-crop,True,3,3,0.4127,0.198,1.438,58.6,1.0,0.999,2313,3 distinct phenotypes | strong NDVI separation (spread 0.413) | likely distinct crop types or strong stress.
150,multi-crop,True,3,3,0.4103,0.18,1.528,47.8,1.0,0.999,1925,3 distinct phenotypes | strong NDVI separation (spread 0.410) | likely distinct crop types or strong stress.
18,multi-crop,True,3,3,0.4002,0.272,1.192,42.2,1.0,0.997,4383,3 distinct phenotypes | strong NDVI separation (spread 0.400) | likely distinct crop types or strong stress.
243,multi-crop,True,3,3,0.3886,0.201,1.39,45.3,1.0,1.0,1959,3 distinct phenotypes | strong NDVI separation (spread 0.389) | likely distinct crop types or strong stress.
210,multi-crop,True,3,3,0.3884,0.23,1.475,61.8,1.0,0.999,5838,3 distinct phenotypes | strong NDVI separation (spread 0.388) | likely distinct crop types or strong stress.
149,multi-crop,True,3,3,0.3865,0.173,1.343,49.9,1.0,1.0,2690,3 distinct phenotypes | strong NDVI separation (spread 0.386) | likely distinct crop types or strong stress.
97,multi-crop,True,3,3,0.3859,0.212,1.415,71.8,1.0,0.999,2298,3 distinct phenotypes | strong NDVI separation (spread 0.386) | likely distinct crop types or strong stress.
244,multi-crop,True,4,4,0.3847,0.207,1.438,61.7,1.0,1.0,2414,4 distinct phenotypes | strong NDVI separation (spread 0.385) | likely distinct crop types or strong stress.
123,multi-crop,True,3,3,0.3538,0.216,1.345,51.0,1.0,1.0,3834,3 distinct phenotypes | strong NDVI separation (spread 0.354) | likely distinct crop types or strong stress.
135,multi-crop,True,3,3,0.3488,0.258,1.255,52.3,1.0,0.999,4553,3 distinct phenotypes | strong NDVI separation (spread 0.349) | likely distinct crop types or strong stress.
29,multi-crop,True,3,3,0.336,0.362,1.261,35.8,1.0,1.0,3151,3 distinct phenotypes | strong NDVI separation (spread 0.336) | likely distinct crop types or strong stress.
138,multi-crop,True,3,3,0.3335,0.217,1.465,50.1,1.0,1.0,2146,3 distinct phenotypes | strong NDVI separation (spread 0.333) | likely distinct crop types or strong stress.
284,multi-crop,True,2,2,0.328,0.243,1.443,50.2,1.0,1.0,1615,2 distinct phenotypes | strong NDVI separation (spread 0.328) | likely distinct crop types or strong stress.
5,multi-crop,True,3,3,0.324,0.223,1.368,56.6,1.0,1.0,3070,3 distinct phenotypes | strong NDVI separation (spread 0.324) | likely distinct crop types or strong stress.
226,multi-crop,True,3,3,0.3202,0.258,1.251,46.8,1.0,1.0,3224,3 distinct phenotypes | strong NDVI separation (spread 0.320) | likely distinct crop types or strong stress.
56,multi-crop,True,3,3,0.3193,0.211,1.245,84.6,1.0,0.999,2337,3 distinct phenotypes | strong NDVI separation (spread 0.319) | likely distinct crop types or strong stress.
340,multi-crop,True,3,3,0.3155,0.229,1.317,38.2,1.0,0.998,3857,3 distinct phenotypes | strong NDVI separation (spread 0.316) | likely distinct crop types or strong stress.
322,multi-crop,True,3,3,0.3093,0.236,1.194,51.7,1.0,1.0,2075,3 distinct phenotypes | strong NDVI separation (spread 0.309) | likely distinct crop types or strong stress.
343,multi-crop,True,3,3,0.3052,0.219,1.308,59.7,1.0,1.0,1476,3 distinct phenotypes | strong NDVI separation (spread 0.305) | likely distinct crop types or strong stress.
19,multi-crop,True,4,4,0.301,0.223,1.344,48.5,1.0,0.999,3172,4 distinct phenotypes | strong NDVI separation (spread 0.301) | likely distinct crop types or strong stress.
134,multi-crop,True,3,3,0.2937,0.232,1.429,60.6,1.0,0.998,3041,3 distinct phenotypes | strong NDVI separation (spread 0.294) | likely distinct crop types or strong stress.
1734,multi-crop,True,2,2,0.2883,0.149,1.414,51.4,1.0,1.0,1524,2 distinct phenotypes | strong NDVI separation (spread 0.288) | likely distinct crop types or strong stress.
184,multi-crop,True,3,3,0.2856,0.216,1.337,46.6,1.0,1.0,2455,3 distinct phenotypes | strong NDVI separation (spread 0.286) | likely distinct crop types or strong stress.
25,multi-crop,True,3,3,0.2825,0.271,1.154,52.7,1.0,0.999,3752,3 distinct phenotypes | strong NDVI separation (spread 0.283) | likely distinct crop types or strong stress.
192,multi-crop,True,2,2,0.2741,0.223,1.298,63.9,1.0,0.999,2968,2 distinct phenotypes | strong NDVI separation (spread 0.274) | likely distinct crop types or strong stress.
64,multi-crop,True,3,3,0.2712,0.164,1.303,59.8,1.0,1.0,1606,3 distinct phenotypes | strong NDVI separation (spread 0.271) | likely distinct crop types or strong stress.
230,multi-crop,True,3,3,0.2402,0.193,1.511,59.2,1.0,0.999,2222,3 distinct phenotypes | strong NDVI separation (spread 0.240) | likely distinct crop types or strong stress.
