date,k_single_date,k_temporal,ndvi_spread,silhouette,n_valid_pixels,cloud %,cluster_ndvi_means,cluster_pcts
2024-06-04,9,3,0.2906,0.2707,1654,28.5,0.419;0.336;0.295;0.272;0.267;0.190;0.185;0.145;0.128,31.9;14.2;8.8;10.3;5.9;14.1;5.8;4.8;4.2
2024-06-07,0,3,0.0000,0.0000,0,100.0,,
2024-06-09,12,3,0.1794,0.3101,1704,26.3,0.451;0.441;0.400;0.397;0.388;0.373;0.370;0.334;0.328;0.314;0.296;0.271,29.5;3.5;6.6;7.9;11.9;8.5;3.4;10.0;6.3;7.6;2.8;2.2
2024-06-12,0,3,0.0000,0.0000,0,100.0,,
2024-06-17,0,3,0.0000,0.0000,0,100.0,,
2024-06-19,0,3,0.0000,0.0000,0,100.0,,
2024-06-22,0,3,0.0000,0.0000,0,100.0,,
2024-06-24,12,3,0.4139,0.3450,2313,0.0,0.574;0.493;0.443;0.408;0.342;0.329;0.299;0.220;0.192;0.190;0.173;0.160,31.0;12.3;6.1;8.0;5.5;10.9;3.9;3.8;5.2;4.6;6.6;1.9
2024-06-27,8,3,0.4037,0.2185,905,60.9,0.621;0.611;0.537;0.493;0.346;0.314;0.246;0.217,18.0;8.4;14.7;11.4;15.5;6.0;12.2;13.9
2024-06-29,0,3,0.0000,0.0000,0,100.0,,
2024-07-09,8,3,0.4949,0.4550,2313,0.0,0.593;0.460;0.290;0.181;0.151;0.151;0.117;0.098,43.8;10.9;7.7;11.8;2.6;5.4;7.3;10.5
2024-07-14,0,3,0.0000,0.0000,0,100.0,,
2024-07-17,11,3,0.6033,0.2658,2313,0.0,0.682;0.661;0.562;0.413;0.360;0.175;0.099;0.095;0.093;0.079;0.079,24.7;16.8;8.7;3.4;3.2;6.5;2.9;11.2;6.7;11.0;5.0
2024-07-19,0,3,0.0000,0.0000,0,100.0,,
2024-07-22,10,3,0.5466,0.2536,2313,0.0,0.629;0.610;0.533;0.392;0.280;0.122;0.096;0.088;0.087;0.083,24.2;16.5;8.9;5.2;4.3;4.8;3.3;11.0;7.7;14.1
2024-07-29,8,3,0.5035,0.3888,2313,0.0,0.580;0.491;0.418;0.173;0.099;0.082;0.079;0.077,41.1;8.9;6.1;7.5;3.0;7.2;14.5;11.7
